batch_id,temperature_c,pressure_kpa,cycle_time_sec,material_humidity_pct,operator_experience_years,machine_age_years,shift_hours_into_day,vibration_mm_s,power_consumption_kwh,defect_flag
B00330,202.2,149.1,121.5,1.24,2.9,11.3,0.1,4.82,83.8,0
B00331,192.7,136.2,99.4,6.9,8.6,10.8,13.3,3.69,83.3,0
B00332,242.8,159.4,52.5,7.89,6.2,12.4,1.8,0.8,56.0,1
B00333,175.5,100.6,141.2,8.35,3.2,6.9,2.7,5.57,65.8,1
B00334,182.9,96.6,45.8,8.25,11.6,5.3,1.7,0.63,34.4,0
B00335,193.9,110.5,116.9,7.75,0.6,8.4,17.0,0.88,39.9,0
B00336,221.4,103.8,101.3,5.25,15.5,13.9,12.2,6.53,88.3,1
B00337,165.4,134.5,150.7,0.89,6.8,12.1,15.0,3.89,31.4,1
B00338,189.1,103.1,48.5,5.96,11.4,10.0,23.0,0.95,52.2,0
B00339,170.2,152.3,148.6,3.48,16.2,4.3,21.5,4.67,84.0,1
B00340,185.0,93.9,54.3,6.87,3.9,13.9,18.2,3.56,90.8,1
B00341,168.4,92.7,109.6,4.15,11.8,8.7,16.7,1.8,91.7,0
B00342,180.5,162.1,110.9,2.94,11.6,8.9,19.3,2.98,43.3,0
B00343,232.7,99.7,124.2,1.14,13.2,12.7,13.4,6.66,77.4,0
B00344,177.1,109.8,99.7,6.84,5.8,6.0,15.1,5.54,61.8,1
B00345,220.4,91.7,100.6,4.71,17.7,7.8,2.2,1.12,74.6,0
B00346,195.8,133.6,137.5,2.95,15.5,9.0,12.3,5.8,81.6,0
B00347,231.2,130.2,53.6,6.47,3.3,1.1,20.4,2.62,65.8,0
B00348,236.0,88.1,129.3,5.68,15.7,4.3,14.7,2.98,85.2,1
B00349,213.2,117.2,131.5,8.24,6.0,6.8,1.8,3.3,75.2,0
B00350,235.9,102.8,44.3,3.13,2.5,4.8,14.3,0.8,71.8,0
B00351,181.2,93.0,131.2,1.16,5.0,3.5,22.1,3.82,78.6,0
B00352,237.9,143.8,85.2,5.58,8.6,10.9,0.9,5.31,42.0,0
B00353,172.1,124.9,85.5,3.62,7.8,10.8,1.8,3.5,49.4,0
B00354,226.8,104.8,126.5,2.69,4.7,1.3,5.1,6.29,79.8,0
B00355,239.8,131.7,88.3,5.58,1.9,3.0,2.4,1.86,62.2,1
B00356,177.9,97.5,108.1,2.17,14.7,9.0,18.7,4.88,83.4,0
B00357,183.6,103.4,45.5,6.46,17.5,10.3,6.7,2.95,28.7,0
B00358,212.8,133.2,150.5,1.25,0.9,2.2,11.0,0.58,67.3,0
B00359,239.6,96.3,88.7,6.55,17.8,8.9,6.2,6.58,34.1,1
B00360,234.1,101.0,116.0,4.96,9.3,4.5,15.2,5.09,54.4,0
B00361,208.8,102.8,79.3,7.02,3.1,0.8,11.5,3.03,69.2,0
B00362,172.9,141.4,53.5,1.09,3.1,2.9,17.7,3.44,54.3,1
B00363,203.8,111.5,69.7,2.81,9.3,6.8,13.7,1.07,81.7,0
B00364,224.3,94.0,103.8,3.11,3.4,13.2,2.2,2.88,88.5,1
B00365,240.9,120.1,76.0,3.23,6.5,9.2,18.8,3.13,41.7,0
B00366,198.3,119.2,101.2,2.91,7.7,13.0,5.1,2.8,28.2,0
B00367,204.9,150.6,130.6,7.14,17.1,11.3,16.4,6.34,89.2,0
B00368,187.0,116.9,95.1,8.17,2.5,5.5,9.7,6.16,72.7,1
B00369,227.6,107.2,67.0,1.25,7.5,4.7,16.5,1.23,50.7,0
B00370,190.4,122.0,101.0,4.36,14.9,2.6,2.8,4.45,55.0,0
B00371,170.1,155.3,138.8,4.1,16.6,5.5,4.8,0.86,28.1,0
B00372,225.4,104.4,71.4,7.41,7.1,2.8,15.2,5.74,77.6,0
B00373,176.7,137.7,100.0,0.77,8.5,8.5,15.2,6.56,86.7,0
B00374,177.5,116.1,127.8,3.09,9.3,2.5,10.1,4.99,48.7,0
B00375,204.4,125.3,81.8,7.97,9.8,5.5,12.5,4.69,25.8,1
B00376,215.3,150.8,134.3,8.47,2.6,6.0,12.1,6.77,46.0,0
B00377,243.6,126.1,124.7,2.52,15.7,6.8,6.1,2.5,84.4,0
B00378,239.9,137.9,105.6,7.37,5.3,1.7,6.2,4.76,60.7,0
B00379,178.0,142.1,116.8,8.47,11.8,6.9,7.6,6.63,82.1,1
B00380,173.8,141.4,118.4,7.23,5.7,3.3,4.3,5.65,43.5,1
B00381,204.2,131.9,109.5,6.24,18.0,6.1,5.6,3.93,75.6,0
B00382,214.2,152.6,92.3,2.01,3.3,0.7,7.5,0.67,31.9,0
B00383,207.6,95.3,130.8,3.54,15.7,8.5,20.5,4.08,81.9,0
B00384,167.5,149.5,61.6,2.74,7.5,6.2,15.7,0.42,32.7,0
B00385,200.2,117.2,88.8,2.61,10.6,9.0,23.4,2.3,90.7,0
B00386,170.0,146.7,119.5,2.55,17.7,12.7,11.1,3.69,52.6,0
B00387,195.1,102.0,45.0,7.08,1.9,7.1,3.4,2.7,27.9,0
B00388,188.1,110.2,123.9,1.6,1.5,5.6,0.6,2.69,79.7,0
B00389,240.8,100.9,58.4,4.48,9.0,2.7,9.3,0.91,43.9,0
B00390,183.2,140.7,110.1,5.64,1.8,2.9,2.0,5.61,46.9,0
B00391,187.6,116.7,42.2,8.5,8.2,2.5,4.3,0.84,51.5,0
B00392,232.4,141.4,97.8,6.66,1.6,7.6,1.9,2.73,48.5,0
B00393,200.0,145.8,144.2,1.2,15.7,3.1,16.7,3.31,55.1,0
B00394,224.1,130.4,148.1,3.55,6.2,3.2,18.2,6.36,46.3,0
B00395,196.0,108.0,154.5,6.4,9.4,0.7,13.7,4.21,58.2,1
B00396,171.4,111.8,148.3,1.69,18.0,0.8,4.7,2.59,82.1,0
B00397,168.6,140.5,89.9,3.53,9.5,7.4,13.3,3.01,91.0,0
B00398,186.3,157.0,102.0,2.75,2.7,12.7,11.8,3.51,66.4,0
B00399,190.6,123.4,72.3,7.08,10.3,6.1,15.3,0.73,54.6,1
B00400,221.2,132.3,109.5,4.93,10.0,5.6,13.3,3.01,31.2,0
B00401,171.3,149.9,122.8,7.09,3.6,2.8,4.0,6.19,38.9,0
B00402,222.8,123.4,133.3,2.89,2.7,12.1,14.8,5.4,80.4,1
B00403,182.9,155.2,119.2,4.61,14.0,5.9,2.7,1.21,51.0,1
B00404,243.8,116.7,69.4,3.05,2.7,9.1,2.6,1.91,38.1,0
B00405,226.4,101.6,50.6,0.72,17.4,8.2,11.8,4.06,45.2,0
B00406,187.4,115.7,144.5,6.02,12.6,1.7,4.1,2.05,32.0,0
B00407,208.8,145.2,132.4,7.38,10.3,4.1,19.2,5.78,61.3,0
B00408,225.3,156.1,81.8,7.75,7.1,10.7,17.0,2.0,66.2,1
B00409,217.5,104.4,103.8,8.32,8.4,8.4,21.3,5.93,43.4,1
B00410,208.1,156.9,115.5,4.44,17.9,4.0,17.6,2.97,29.9,0
B00411,199.1,132.4,111.3,4.18,11.2,10.9,20.9,2.99,84.3,0
B00412,191.2,106.9,105.4,6.97,17.2,6.9,22.6,3.2,87.1,1
B00413,178.9,162.8,100.6,1.66,5.2,5.5,15.2,1.37,65.4,0
B00414,237.6,91.2,133.2,7.53,14.6,9.9,21.6,6.24,66.0,1
B00415,225.1,119.4,136.0,3.32,1.6,12.4,13.7,1.04,75.7,1
B00416,186.9,139.1,83.4,3.66,11.9,6.0,16.0,0.51,91.0,0
B00417,233.6,130.3,99.1,0.84,17.2,9.9,16.6,0.65,34.8,0
B00418,212.7,136.7,60.0,1.87,8.2,5.8,17.4,2.26,47.3,0
B00419,229.2,157.3,52.8,6.13,2.0,5.6,23.1,2.6,88.2,1
B00420,202.9,156.2,128.1,5.29,8.9,1.3,10.9,3.26,56.9,0
B00421,182.8,145.1,116.4,7.86,14.1,13.4,15.1,2.91,73.4,0
B00422,178.9,114.8,132.0,1.3,17.8,12.6,9.7,2.17,62.0,0
B00423,185.7,104.4,112.6,3.93,14.3,3.6,2.7,3.43,76.9,0
B00424,222.9,163.1,126.3,3.39,15.3,11.8,12.7,5.09,52.7,0
B00425,189.9,120.0,44.8,1.24,1.3,10.4,14.4,0.78,71.1,1
B00426,203.3,124.9,92.7,5.14,6.1,11.3,16.9,2.07,50.8,0
B00427,181.9,162.0,93.4,2.92,6.2,13.2,15.5,3.33,36.6,1
B00428,223.4,134.5,82.5,6.8,12.9,3.6,15.9,0.64,89.3,0
B00429,174.9,134.1,92.6,5.74,13.5,9.5,20.4,6.35,79.3,0
B00430,233.2,106.7,88.8,5.93,0.8,1.9,18.6,0.65,69.1,0
B00431,216.9,132.4,50.3,4.4,1.0,13.4,20.7,3.61,79.8,1
B00432,186.8,91.2,145.6,4.97,14.9,1.3,3.9,6.79,54.8,0
B00433,179.9,116.7,69.3,8.22,9.9,2.3,17.6,2.74,46.5,0
B00434,210.0,103.1,77.6,7.14,3.8,1.0,17.7,6.06,31.3,1
B00435,172.9,125.2,51.3,0.84,15.8,14.0,14.6,3.22,78.7,0
B00436,236.0,130.7,135.8,1.94,17.5,3.3,19.8,2.05,46.0,0
B00437,231.5,107.2,57.7,5.04,13.5,1.8,20.9,3.77,51.4,0
B00438,229.2,151.2,144.7,5.32,1.0,4.6,5.9,3.4,37.8,0
B00439,228.9,128.8,123.4,6.9,11.0,7.6,5.4,4.94,27.9,0
B00440,179.8,154.5,102.6,4.11,2.1,6.5,7.4,6.06,83.1,1
B00441,183.7,127.8,64.0,2.03,6.5,1.8,10.1,3.18,58.2,0
B00442,188.7,101.2,67.4,2.05,4.9,3.8,6.2,3.3,79.9,0
B00443,190.6,163.1,150.6,7.96,9.3,2.6,2.1,5.09,78.5,1
B00444,177.3,134.5,60.8,4.52,0.6,8.5,12.4,2.6,27.7,1
B00445,214.2,135.2,87.8,8.25,13.4,13.6,12.9,5.88,51.3,0
B00446,222.0,135.2,51.8,0.7,11.1,4.5,18.9,0.97,82.2,0
B00447,185.9,150.2,143.4,5.97,10.7,8.0,14.2,5.16,75.7,1
B00448,167.5,128.7,85.5,6.09,15.0,5.5,7.5,2.14,54.9,0
B00449,243.4,147.0,57.3,8.09,12.4,1.1,12.2,2.01,84.9,1
B00450,243.0,115.5,75.9,8.08,16.9,13.4,8.9,4.07,73.3,0
B00451,234.7,132.1,44.4,8.14,14.4,6.7,18.4,1.24,48.7,1
B00452,242.4,106.1,73.6,7.21,10.8,5.2,14.0,5.39,70.3,1
B00453,205.6,88.1,122.6,4.67,1.3,12.8,4.2,2.28,40.3,0
B00454,183.6,133.7,141.5,7.68,5.4,11.5,7.5,1.39,39.2,1
B00455,220.3,134.2,146.3,4.59,2.6,6.1,9.2,3.29,57.6,0
B00456,182.5,148.3,64.0,5.19,8.8,5.6,3.3,6.41,55.3,0
B00457,189.2,150.7,86.7,4.78,15.1,7.5,0.0,5.29,65.5,0
B00458,223.5,137.3,106.5,5.9,3.1,13.7,0.3,0.74,39.7,1
B00459,221.2,152.2,88.9,5.2,16.9,5.4,3.1,1.29,87.0,0
B00460,218.0,95.8,49.1,3.22,4.5,10.7,6.9,6.1,43.9,1
B00461,198.1,157.2,153.8,6.83,12.3,9.0,13.5,2.59,65.5,1
B00462,170.4,151.6,90.2,2.42,15.0,9.2,2.7,6.04,87.9,1
B00463,203.5,159.1,144.6,7.31,9.9,13.4,11.5,3.8,73.8,1
B00464,186.8,104.3,93.6,1.22,13.7,7.1,20.7,4.65,88.4,0
B00465,167.1,101.0,140.5,2.79,7.0,9.9,11.1,0.82,86.1,1
B00466,167.0,152.4,59.9,7.32,2.0,4.5,19.3,0.76,46.7,1
B00467,194.5,155.9,128.3,5.18,11.8,7.9,10.1,4.04,42.4,1
B00468,235.7,98.5,83.6,0.88,17.3,2.3,21.2,3.35,52.1,0
B00469,238.5,130.9,47.3,1.19,6.7,7.9,20.3,0.98,87.8,0
B00470,213.2,112.5,64.5,1.3,4.8,5.5,7.9,4.16,47.5,0
B00471,244.8,91.3,140.7,3.47,5.9,9.8,12.3,4.77,26.7,1
B00472,224.7,102.9,138.7,6.96,10.1,11.9,17.9,1.36,32.0,1
B00473,229.6,113.0,110.6,3.19,11.2,12.4,4.0,4.72,29.0,1
B00474,244.6,91.2,63.8,4.59,6.8,2.0,19.4,2.22,28.1,1
B00475,167.3,94.2,60.0,1.93,15.8,7.8,1.2,1.21,40.7,0
B00476,176.7,124.6,130.4,5.55,2.4,11.4,23.1,1.4,91.2,1
B00477,194.9,103.9,106.3,7.84,4.6,7.3,1.5,5.88,37.4,1
B00478,221.6,93.4,83.6,7.72,3.2,3.2,19.2,3.32,45.4,1
B00479,184.0,100.4,68.3,1.12,14.3,11.8,15.4,1.41,35.2,0
B00480,168.1,136.5,100.2,0.79,10.4,14.0,2.3,0.44,56.2,0
B00481,196.2,119.6,51.5,8.42,13.1,6.6,5.2,2.09,39.3,0
B00482,169.9,138.1,142.8,5.21,13.4,9.5,14.7,1.39,39.2,0
B00483,181.7,122.5,76.9,8.49,9.4,4.4,14.5,5.0,50.5,0
B00484,177.2,164.6,142.6,5.99,5.4,7.2,19.8,1.45,32.2,1
B00485,221.6,155.5,78.7,6.17,6.2,5.3,13.7,1.81,39.5,0
B00486,186.9,155.4,83.1,4.14,9.7,10.5,0.0,2.14,62.5,0
B00487,169.9,114.9,81.8,3.26,6.9,2.4,7.7,6.57,90.9,0
B00488,216.9,127.9,71.4,8.27,2.0,7.9,18.1,5.32,52.1,1
B00489,235.0,88.3,60.4,8.14,6.7,8.5,0.5,0.48,50.7,1
B00490,181.6,115.8,53.0,2.87,12.3,3.8,23.2,1.46,42.5,1
B00491,235.7,119.6,82.7,3.51,3.7,7.4,4.4,1.6,24.2,0
B00492,239.2,104.9,128.9,3.79,13.6,10.8,6.3,5.2,78.2,0
B00493,169.6,164.6,55.2,8.43,7.3,2.5,10.0,5.59,45.0,1
B00494,222.3,97.2,147.6,5.97,6.1,4.2,4.8,6.66,29.2,0
B00495,191.1,120.1,87.2,5.31,11.1,6.6,22.1,3.21,63.1,0
B00496,170.3,161.3,105.6,5.47,1.6,12.0,19.2,3.13,81.6,1
B00497,208.6,149.5,126.4,5.28,0.6,6.6,4.0,1.45,57.4,0
B00498,191.5,142.8,54.0,6.18,6.8,9.7,19.1,3.52,38.8,1
B00499,239.7,108.2,120.5,7.95,14.1,3.0,15.0,5.31,76.9,0
B00500,213.4,124.4,95.0,4.64,2.3,8.5,3.2,5.08,75.6,0
B00501,183.1,148.9,116.7,1.44,3.8,11.4,1.7,2.61,59.6,0
B00502,202.5,89.8,123.5,2.84,9.9,8.4,2.0,0.87,77.5,0
B00503,220.5,112.2,43.4,5.93,2.3,0.8,18.2,2.49,39.5,0
B00504,227.4,126.5,77.3,5.29,14.3,12.7,11.2,4.86,24.6,1
B00505,207.2,134.9,115.8,1.21,14.9,5.3,2.8,0.73,68.2,0
B00506,206.5,122.4,124.0,1.68,17.2,7.6,21.9,5.04,48.3,0
B00507,186.7,99.3,78.5,1.32,12.0,5.8,15.7,5.32,39.8,0
B00508,215.2,98.0,82.9,6.26,11.6,1.6,9.8,6.53,39.9,0
B00509,210.4,141.4,59.4,4.89,0.9,8.1,13.6,3.64,36.6,0
B00510,171.9,129.7,133.3,6.23,12.4,2.1,7.3,5.79,46.6,1
B00511,173.0,151.1,63.4,8.41,1.9,8.8,3.0,4.18,39.1,0
B00512,206.2,112.3,47.5,7.2,14.8,3.7,14.7,1.1,92.0,0
B00513,184.1,101.0,117.4,2.67,7.7,11.1,14.9,2.33,27.7,0
B00514,185.5,137.7,143.6,7.4,9.7,4.0,23.4,6.55,32.3,0
B00515,198.6,151.0,124.7,7.47,16.4,10.6,2.2,3.58,28.9,0
B00516,167.6,140.5,121.5,8.33,13.6,9.1,23.3,4.8,75.0,1
B00517,223.2,164.6,84.5,2.02,3.3,0.9,18.6,1.18,71.2,0
B00518,181.5,131.9,84.4,5.49,4.6,3.7,0.5,4.14,80.5,0
B00519,190.4,145.3,116.3,0.95,10.5,11.2,7.3,5.18,71.8,0
B00520,242.1,163.7,74.1,0.93,13.8,4.3,3.1,3.27,88.0,0
B00521,229.1,131.8,78.8,3.64,0.5,10.0,1.1,2.79,26.3,0
B00522,239.5,124.3,77.2,7.39,15.6,6.3,0.7,5.2,29.1,0
B00523,222.0,144.1,81.2,8.32,17.6,14.0,17.4,4.97,69.1,0
B00524,182.5,133.7,134.8,7.56,5.9,12.0,16.3,0.85,74.7,1
B00525,174.6,107.2,99.4,5.82,3.5,6.7,3.4,0.61,27.0,1
B00526,178.5,90.9,102.0,6.74,8.3,6.1,0.6,0.88,52.0,0
B00527,208.2,159.9,77.0,7.78,1.4,13.9,10.9,3.14,51.3,0
B00528,214.1,161.4,80.4,3.36,16.2,0.6,0.4,5.12,43.0,0
B00529,195.9,163.8,123.9,2.16,4.5,10.2,13.3,5.71,73.8,1
B00530,197.3,132.3,75.3,2.8,14.7,9.6,22.2,6.03,48.2,0
B00531,210.7,133.5,127.0,8.35,10.9,9.2,3.0,3.58,83.3,1
B00532,192.8,145.7,107.2,3.28,11.0,7.1,22.4,3.82,87.4,0
B00533,195.9,92.0,125.3,3.38,8.8,6.7,7.5,5.68,63.1,1
B00534,173.0,147.1,130.8,4.48,1.5,9.9,18.2,0.91,73.5,1
B00535,177.4,157.3,61.0,0.9,13.1,4.5,16.9,6.15,56.2,0
B00536,219.6,142.6,117.6,7.51,5.9,3.8,5.8,4.93,59.9,1
B00537,233.7,126.9,114.6,1.73,16.9,1.7,9.0,2.26,58.0,0
B00538,238.7,91.0,69.8,2.9,14.3,3.8,21.3,6.06,25.2,0
B00539,200.2,121.4,92.7,3.06,10.4,7.6,11.2,2.62,38.7,0
B00540,167.5,96.6,111.1,8.17,9.5,12.0,1.3,0.96,46.0,1
B00541,186.0,91.8,82.6,3.81,4.5,12.6,10.6,0.58,87.0,0
B00542,198.0,107.6,136.1,2.46,5.0,8.9,20.3,1.3,27.4,0
B00543,242.9,98.4,79.9,4.88,16.0,7.0,22.8,1.65,49.1,0
B00544,182.9,146.7,147.0,3.63,13.1,1.9,9.7,3.12,88.1,0
B00545,225.1,103.1,91.4,2.54,10.2,7.1,18.9,3.97,67.0,0
B00546,194.8,153.3,56.8,7.82,15.6,13.9,9.6,4.21,51.1,0
B00547,239.1,108.1,72.1,3.17,6.8,12.4,5.5,1.34,29.2,1
B00548,193.5,134.6,91.1,1.06,15.3,8.6,15.0,5.64,42.8,0
B00549,228.0,162.5,133.7,5.94,8.2,8.7,12.2,3.88,50.1,0
B00550,197.9,123.9,147.0,1.89,8.6,3.3,7.5,3.76,28.8,0
B00551,213.4,107.0,94.1,3.75,6.7,6.8,0.8,2.97,87.4,0
B00552,236.6,131.1,85.7,5.16,14.2,4.1,6.2,3.05,55.9,0
B00553,187.3,148.9,151.4,0.97,11.0,8.7,20.8,1.59,37.2,0
B00554,207.7,115.2,126.4,7.23,2.0,3.6,13.3,5.01,77.7,0
B00555,212.0,109.6,146.7,4.6,7.7,5.8,3.9,1.69,91.4,0
B00556,241.3,134.4,46.3,1.72,6.9,1.4,12.1,4.62,91.6,0
B00557,187.6,154.4,84.0,4.35,5.0,3.6,6.7,4.36,49.1,0
B00558,168.2,91.3,70.9,2.34,17.9,12.7,5.7,4.9,57.2,1
B00559,202.1,126.6,71.6,8.0,9.1,7.2,5.8,6.42,35.8,0
B00560,189.0,121.1,154.7,2.38,15.3,7.3,13.5,2.58,50.5,0
B00561,170.5,102.0,153.8,8.36,14.4,8.7,4.1,1.67,90.7,1
B00562,174.3,130.7,61.3,3.97,10.2,2.6,12.0,1.64,41.0,0
B00563,224.8,105.9,78.8,6.64,9.1,7.6,12.7,0.59,64.4,0
B00564,172.1,128.0,96.0,5.21,5.2,2.8,18.8,2.55,76.2,0
B00565,197.9,143.2,79.2,7.09,4.5,7.9,2.0,1.71,87.2,0
B00566,198.8,126.4,60.1,3.79,2.0,6.1,18.0,3.67,72.3,0
B00567,224.3,115.5,62.1,7.81,4.5,3.5,6.3,2.64,60.0,0
B00568,200.0,126.5,150.4,2.5,4.8,10.6,5.4,5.85,80.4,0
B00569,242.8,133.9,70.4,6.57,11.3,7.4,4.1,0.78,28.2,0
B00570,241.0,91.3,53.6,2.84,9.4,11.0,16.0,5.51,77.2,0
B00571,187.1,88.0,80.2,7.95,12.1,11.9,15.1,6.58,57.3,1
B00572,237.6,98.4,110.2,2.77,9.6,3.1,7.4,4.17,70.4,0
B00573,214.5,151.6,118.7,8.31,6.1,2.2,10.5,4.96,43.5,1
B00574,240.8,163.2,139.5,2.48,17.3,12.9,12.2,1.75,51.8,0
B00575,177.1,106.6,72.3,0.92,4.0,11.9,9.1,4.4,47.8,1
B00576,216.3,156.4,53.4,1.98,17.8,11.8,7.6,4.25,59.0,0
B00577,230.9,104.2,142.8,4.1,9.8,8.9,11.8,4.74,54.0,1
B00578,212.4,116.1,128.0,3.94,0.7,7.7,7.3,5.32,58.2,0
B00579,223.1,121.3,85.5,3.88,4.2,6.8,11.3,6.77,35.8,0
B00580,177.8,139.3,154.3,0.85,9.6,9.6,12.6,0.69,40.1,1
B00581,220.5,94.9,64.6,5.14,2.2,1.3,14.6,3.79,50.0,1
B00582,235.3,111.0,124.6,1.21,2.1,2.0,3.6,1.53,25.2,0
B00583,168.2,163.0,80.2,3.11,9.9,13.5,8.9,5.03,79.6,1
B00584,220.2,120.1,55.5,4.55,8.8,12.5,0.1,2.69,31.5,0
B00585,233.2,104.0,152.6,3.47,2.9,13.1,18.3,3.13,37.7,1
B00586,222.9,127.8,92.5,1.72,0.8,12.0,9.8,1.81,77.7,0
B00587,185.9,111.8,117.1,3.25,1.9,2.9,11.1,6.01,31.0,0
B00588,241.5,90.4,110.9,6.43,13.4,5.7,1.1,4.37,50.7,0
B00589,173.2,144.4,52.6,3.63,5.5,5.5,6.0,5.15,80.5,1
B00590,167.5,158.6,51.7,4.86,10.3,8.4,7.8,6.2,83.7,1
B00591,172.5,99.1,82.1,3.45,12.8,9.3,12.0,4.81,53.8,1
B00592,173.6,157.4,89.4,7.31,10.6,13.6,3.8,5.77,76.0,0
B00593,231.8,121.4,139.1,5.94,7.3,7.8,2.9,4.33,36.1,0
B00594,188.5,134.4,60.5,3.06,1.0,9.1,8.5,1.83,90.4,1
B00595,217.9,108.1,65.8,7.15,6.4,8.5,5.4,2.22,80.6,0
B00596,243.4,117.9,136.9,5.5,5.0,11.4,21.4,2.58,41.8,1
B00597,199.5,159.5,116.3,5.52,14.6,5.7,10.2,6.53,70.8,0
B00598,211.0,148.3,119.2,7.21,3.3,13.4,15.9,5.78,80.1,1
B00599,228.6,137.3,85.9,2.37,3.6,7.5,4.8,5.84,74.4,0
B00600,231.8,163.6,115.1,7.71,7.6,2.2,4.7,3.63,80.4,0
B00601,215.3,96.3,43.4,6.9,2.3,1.2,18.8,5.3,91.9,1
B00602,207.4,100.8,73.4,1.78,0.7,8.4,21.1,0.98,53.3,0
B00603,188.1,102.7,72.8,1.68,4.8,10.2,22.6,6.26,25.2,0
B00604,207.6,88.3,99.6,7.17,16.8,9.4,20.0,0.58,67.3,0
B00605,186.0,97.1,105.4,2.52,10.1,9.4,1.0,4.23,34.4,0
B00606,172.8,100.4,112.0,3.5,14.2,12.7,7.2,4.73,32.8,0
B00607,179.0,154.8,95.1,2.84,3.9,4.5,6.8,6.77,76.3,0
B00608,219.5,138.8,136.8,4.48,7.3,8.7,4.3,1.46,70.0,0
B00609,221.7,88.7,81.6,7.46,3.5,13.0,0.7,4.9,73.1,1
B00610,174.1,134.7,147.4,3.2,6.4,8.1,22.6,1.47,88.7,0
B00611,181.5,146.4,142.0,1.68,11.6,9.3,13.2,3.33,40.3,0
B00612,226.7,127.8,131.5,8.09,2.7,1.3,21.9,6.23,33.9,1
B00613,183.9,141.7,133.4,1.96,1.3,7.1,3.1,5.99,90.1,0
B00614,181.6,114.5,68.1,3.65,0.6,1.4,21.9,3.08,59.7,1
B00615,211.8,95.3,143.0,0.98,16.7,7.5,1.4,1.04,78.9,0
B00616,241.3,102.5,74.0,7.05,3.4,12.2,19.4,2.39,74.7,1
B00617,230.4,104.5,54.5,2.78,12.7,1.9,9.6,4.83,61.9,0
B00618,169.2,110.6,147.5,4.74,15.0,9.9,1.1,2.25,30.0,0
B00619,181.8,162.0,136.5,0.88,5.0,8.3,22.5,5.58,47.6,1
B00620,188.4,113.9,82.9,6.16,4.5,11.5,14.2,2.49,38.2,1
B00621,190.8,131.7,124.1,4.9,10.9,8.7,7.1,2.87,52.1,0
B00622,239.2,136.8,138.6,0.91,7.4,6.0,20.7,5.28,75.3,0
B00623,226.0,102.8,154.5,4.15,4.0,11.8,7.9,4.81,54.2,1
B00624,223.5,109.6,105.3,8.5,1.2,10.2,5.9,1.52,41.2,1
B00625,215.4,129.6,110.6,7.76,11.0,6.2,11.0,4.31,46.8,0
B00626,174.0,157.2,86.2,0.95,14.5,11.3,20.4,1.21,90.6,0
B00627,211.4,153.6,87.2,7.97,1.5,12.7,6.6,5.94,47.1,1
B00628,231.5,164.6,140.7,1.54,15.5,10.6,21.3,5.05,88.2,0
B00629,244.8,97.5,137.7,6.01,13.2,9.3,8.8,2.43,88.7,1
B00630,209.0,111.5,126.3,2.39,14.4,3.4,12.2,1.8,58.3,0
B00631,205.4,118.8,104.0,2.97,17.5,3.1,9.9,2.99,57.4,0
B00632,175.1,129.8,77.5,5.24,15.7,2.7,11.8,4.84,82.4,0
B00633,206.7,95.6,100.2,1.24,9.3,10.3,10.4,1.07,69.4,0
B00634,169.8,128.3,75.6,5.99,15.1,12.5,4.6,1.05,36.1,0
B00635,179.8,94.7,109.9,2.93,6.0,10.2,15.0,0.83,41.7,1
B00636,204.6,140.6,103.0,2.57,2.0,13.5,18.5,1.9,24.4,0
B00637,199.8,143.3,97.2,4.33,17.9,10.0,10.7,3.9,24.3,0
B00638,234.6,121.8,90.0,3.09,14.9,4.4,20.3,0.81,62.4,0
B00639,173.8,93.9,71.3,6.69,6.9,11.2,9.1,4.37,39.3,1
B00640,208.4,96.3,62.0,2.91,2.4,10.3,3.0,2.62,62.7,0
B00641,177.3,121.3,115.7,5.42,11.1,7.4,12.7,3.72,74.8,0
B00642,171.5,134.7,118.8,1.32,9.2,10.2,15.7,3.92,40.0,0
B00643,227.8,131.5,87.9,1.69,11.8,4.8,14.8,4.97,81.1,0
B00644,171.3,145.7,42.0,0.85,14.9,11.7,17.0,0.85,63.8,1
B00645,238.1,151.5,79.8,3.25,5.0,11.2,10.3,5.63,78.3,1
B00646,223.6,119.5,75.9,5.77,5.7,9.1,4.1,2.01,44.6,0
B00647,191.0,128.4,82.5,1.22,6.7,5.2,1.7,2.2,29.4,1
B00648,230.5,127.7,115.3,5.87,8.6,2.9,23.4,5.24,26.6,0
B00649,182.5,147.1,94.9,1.3,1.5,11.3,15.3,0.57,92.0,1
B00650,236.4,161.7,146.4,3.83,11.6,4.8,19.0,0.67,29.4,0
B00651,180.9,102.2,86.6,6.34,6.6,1.1,18.0,2.48,53.1,1
B00652,190.8,132.6,140.3,6.52,10.1,0.9,10.8,2.77,55.1,0
B00653,237.2,163.9,100.1,7.16,17.9,3.8,12.8,2.78,29.5,0
B00654,167.1,154.0,66.9,1.83,12.4,7.8,16.5,3.84,49.9,1
B00655,226.0,121.9,149.6,7.51,10.0,1.4,3.7,0.72,29.0,0
B00656,174.7,144.4,78.8,1.67,1.8,7.1,18.0,6.17,32.0,1
B00657,166.9,93.6,48.0,1.37,7.9,3.9,0.5,0.7,82.6,0
B00658,173.5,97.2,128.2,6.76,12.8,3.0,0.7,0.81,47.6,1
B00659,169.1,160.7,70.3,4.52,2.0,13.1,16.5,6.28,58.1,1
B00660,214.9,126.6,103.2,3.25,13.5,5.3,21.1,6.23,83.1,0
