property_id,floor_area_sqft,bedrooms,bathrooms,property_age_years,distance_to_city_km,distance_to_mrt_km,parking_spots,furnishing_score,neighborhood_income_rm,monthly_maintenance_rm,sale_price_rm
P0367,2882,6,5,20,33.0,0.98,4,8,12000,857.86,1427532.68
P0368,569,1,1,13,29.3,0.93,0,8,5700,251.36,268944.02
P0369,2326,6,5,25,17.2,2.44,4,1,17100,630.62,1274226.36
P0370,1869,5,4,1,26.2,3.17,3,4,21200,617.12,1129614.51
P0371,1828,3,2,24,19.9,1.6,1,1,11100,510.89,819858.76
P0372,2696,6,5,8,14.0,4.52,4,4,7700,808.09,1370226.83
P0373,3875,6,5,14,9.7,4.93,4,1,18500,939.96,2023003.77
P0374,3794,6,5,16,29.7,3.15,4,1,20400,885.73,1906037.59
P0375,3974,6,5,7,16.7,1.96,4,5,15600,1025.51,2029911.28
P0376,588,1,1,6,25.7,1.42,1,3,14200,299.91,422494.64
P0377,979,3,4,7,11.8,3.95,2,4,19000,354.19,742656.41
P0378,1376,3,4,26,12.3,0.29,2,4,21100,498.99,967412.08
P0379,1904,4,3,0,26.0,4.54,4,8,7300,713.66,934862.09
P0380,3513,6,5,14,18.2,4.89,4,8,4700,918.32,1612377.05
P0381,1265,2,2,23,30.8,1.63,2,2,5900,446.82,491991.58
P0382,1116,4,5,10,13.5,4.48,4,5,5800,478.14,646305.24
P0383,1953,4,3,25,16.1,2.34,3,8,14200,657.42,1060824.89
P0384,3401,6,5,10,5.3,4.57,4,10,20800,956.0,1894525.75
P0385,3053,6,5,1,33.0,4.41,4,3,15800,857.58,1543892.2
P0386,738,1,1,20,2.0,4.35,1,10,22000,384.34,676434.77
P0387,3293,6,5,33,26.6,3.13,4,4,15800,855.31,1569533.09
P0388,3986,6,5,3,1.9,4.68,4,8,16100,1080.42,2083872.63
P0389,856,2,2,15,13.6,1.46,2,4,17500,376.41,602877.07
P0390,2430,6,5,28,4.7,2.54,4,2,16200,715.92,1396673.76
P0391,622,1,1,26,2.8,2.79,0,10,19300,335.71,588677.41
P0392,3231,6,5,21,14.8,0.37,4,8,11900,913.6,1635920.76
P0393,3088,6,5,23,27.6,0.66,4,4,3500,817.98,1422175.7
P0394,1745,5,5,23,27.1,0.32,3,8,7000,637.28,797014.53
P0395,3591,6,5,6,10.8,1.06,4,7,9000,956.08,1836400.93
P0396,991,2,1,7,29.7,2.31,2,10,16400,421.84,539620.78
P0397,2593,5,5,3,21.7,2.22,4,8,16500,820.85,1480559.21
P0398,1261,4,3,6,15.6,3.04,3,9,13300,521.85,783438.34
P0399,3044,6,5,17,16.0,1.78,4,8,6900,837.74,1446622.25
P0400,2648,6,5,35,32.9,3.59,4,4,8600,725.61,1125126.05
P0401,3476,6,5,22,35.1,0.75,4,3,16300,895.93,1631543.77
P0402,3666,6,5,30,22.8,4.72,4,7,20700,998.67,1794855.57
P0403,3996,6,5,27,31.0,2.66,4,7,7200,988.59,1789960.01
P0404,3767,6,5,16,6.8,0.4,4,4,17300,909.29,2011970.97
P0405,3884,6,5,35,33.1,3.74,4,7,9500,1014.21,1718363.43
P0406,3388,6,5,24,15.6,4.79,4,6,17600,867.22,1682178.93
P0407,3596,6,5,28,31.8,4.57,4,6,18500,953.94,1674946.03
P0408,1342,3,3,11,37.4,0.46,1,9,6500,462.28,556695.1
P0409,2305,5,5,16,6.2,2.96,4,1,11900,653.53,1275723.48
P0410,1871,5,4,19,19.4,2.91,4,2,21600,572.57,1121575.9
P0411,1450,2,3,4,30.2,0.88,2,9,13800,488.19,795233.25
P0412,1909,5,5,18,9.5,3.79,4,8,17800,701.99,1211668.51
P0413,3209,6,5,22,17.8,4.53,4,10,9700,973.51,1553613.07
P0414,3811,6,5,16,21.2,1.49,4,6,16600,1018.26,1891775.0
P0415,2375,6,5,18,34.3,1.04,4,2,5900,648.24,1118482.47
P0416,580,2,1,13,26.0,3.89,2,7,6100,318.96,241379.61
P0417,3944,6,5,27,25.1,4.7,4,3,4100,971.84,1684243.38
P0418,772,1,1,35,4.1,4.13,0,7,13400,308.07,481501.82
P0419,2206,5,5,1,15.7,0.68,3,10,5100,737.68,1131126.89
P0420,847,2,3,6,12.1,3.46,2,2,10700,362.99,512178.77
P0421,2342,6,5,1,18.8,2.71,4,7,17400,715.06,1355380.35
P0422,4183,6,5,23,36.4,0.15,4,3,6600,973.12,1796093.19
P0423,2895,6,5,34,21.5,0.52,4,6,8900,814.37,1368634.13
P0424,1209,2,1,16,8.6,0.99,2,1,17500,385.75,739395.95
P0425,2801,6,5,4,10.7,1.07,4,8,11900,815.89,1540515.58
P0426,1717,5,4,12,13.1,2.31,4,5,21200,607.48,1115506.25
P0427,2866,6,5,20,36.5,0.93,4,4,9100,815.1,1298313.81
P0428,2022,4,5,21,33.5,2.37,3,5,15900,624.13,1001309.92
P0429,1269,4,5,5,32.2,4.31,2,9,8500,472.74,662270.12
P0430,858,1,2,1,31.2,2.94,1,4,4400,332.6,317481.89
P0431,2776,6,5,9,14.9,1.19,4,5,6900,786.15,1380095.84
P0432,2606,5,5,15,32.5,4.05,4,3,16600,699.12,1291279.13
P0433,1202,2,3,9,28.4,2.47,1,1,9100,379.51,553650.06
P0434,1508,3,4,13,20.4,3.98,2,8,15100,565.6,887269.31
P0435,713,3,3,6,27.2,2.65,2,5,18300,352.78,564199.11
P0436,2046,6,5,4,20.4,1.94,4,9,13800,691.57,1249265.49
P0437,4104,6,5,30,33.9,0.13,4,8,7700,1037.72,1795291.7
P0438,1165,2,1,23,23.5,4.1,2,4,14100,448.82,572700.09
P0439,3500,6,5,30,19.0,2.99,4,7,4000,918.37,1610273.61
P0440,1101,4,5,2,34.0,0.82,2,5,8100,419.84,627249.4
P0441,2210,6,5,1,33.6,3.67,4,2,9000,646.72,1144326.47
P0442,1248,2,2,9,30.5,4.12,0,10,20300,435.72,714622.46
P0443,1236,4,5,21,35.2,3.02,2,4,13100,419.03,645972.39
P0444,4070,6,5,26,31.7,3.07,4,8,19200,1068.58,1976704.84
P0445,4145,6,5,7,4.9,3.33,4,9,3500,1123.8,2002602.42
P0446,2688,6,5,2,27.0,2.2,4,7,12400,806.74,1349575.21
P0447,3586,6,5,6,17.0,1.35,4,2,10700,909.31,1753177.85
P0448,572,2,3,0,22.6,0.68,0,7,20200,247.5,542931.92
P0449,3844,6,5,23,5.4,2.19,4,5,10100,1017.42,1877864.2
P0450,1678,5,5,13,16.6,3.94,4,3,12900,573.95,981422.19
P0451,2531,6,5,22,29.8,2.05,4,2,9300,704.24,1187089.12
P0452,1428,4,4,21,30.7,3.11,4,1,7600,487.95,626354.03
P0453,3154,6,5,9,18.7,3.04,4,2,10200,793.9,1564511.53
P0454,2124,5,5,33,12.0,4.82,3,3,19800,612.76,1203266.71
P0455,593,1,2,33,11.9,0.26,1,9,16700,359.58,437949.3
P0456,2023,4,5,0,37.1,0.53,3,7,12500,660.11,1009472.71
P0457,2210,6,5,33,2.1,3.55,4,9,10700,758.41,1198874.13
P0458,1973,5,4,12,18.1,2.08,3,5,7900,600.85,1002095.38
P0459,986,3,2,32,12.2,4.74,3,5,17200,463.79,581571.5
P0460,2094,6,5,15,29.1,4.81,4,8,18500,739.12,1142411.99
P0461,2524,5,5,4,15.5,3.96,3,4,11500,688.56,1295271.9
P0462,3420,6,5,18,4.9,3.4,4,2,17600,912.74,1860167.07
P0463,2501,6,5,13,34.1,1.42,4,4,16200,751.89,1296846.19
P0464,1637,3,2,12,32.0,4.2,2,3,6200,452.65,687925.91
P0465,871,3,4,31,23.9,3.84,3,1,15800,350.9,480087.17
P0466,4158,6,5,31,8.2,3.84,4,5,13600,1010.65,2095018.12
P0467,2912,6,5,33,30.7,2.44,4,1,16300,750.89,1440728.58
P0468,2422,5,5,33,18.3,3.48,3,4,13200,687.06,1163816.94
P0469,1882,4,5,16,8.3,1.39,3,8,19100,614.07,1222388.49
P0470,2266,6,5,23,32.7,1.47,4,10,6800,805.81,1111686.04
P0471,3359,6,5,17,30.8,2.82,4,4,7200,912.62,1511426.24
P0472,589,1,1,31,6.4,4.48,1,9,17100,361.08,418844.72
P0473,3766,6,5,16,22.0,2.88,4,2,21100,898.21,1927701.22
P0474,3986,6,5,28,28.7,1.37,4,9,17700,1098.66,1970540.14
P0475,1605,4,3,26,5.9,4.35,4,4,18200,574.49,981854.27
P0476,3746,6,5,20,26.1,2.49,4,8,5500,988.39,1677467.19
P0477,1723,4,5,9,33.2,3.24,3,7,19600,600.37,924990.71
P0478,874,1,1,14,12.9,3.3,1,5,18900,356.78,643425.38
P0479,1661,4,4,33,36.7,2.13,2,1,6700,493.76,606889.24
P0480,3420,6,5,13,7.6,0.6,4,8,17500,896.98,1814011.59
P0481,3707,6,5,5,5.3,3.13,4,7,11400,954.2,1916790.78
P0482,1067,2,3,10,2.5,3.35,1,8,15400,460.56,730149.62
P0483,2764,6,5,28,6.4,4.75,4,3,18600,773.28,1488358.51
P0484,2860,6,5,34,12.8,1.8,4,4,5700,786.99,1327173.06
P0485,2048,5,5,9,12.6,0.1,3,6,10800,632.56,1253872.33
P0486,3644,6,5,0,29.5,4.01,4,4,3600,938.74,1626987.85
P0487,1322,3,4,27,15.9,0.9,3,7,13100,489.02,826816.96
P0488,2666,6,5,17,11.9,3.74,4,7,8300,829.23,1390657.98
P0489,1297,2,2,7,24.7,3.13,1,10,16000,447.24,751303.42
P0490,2741,6,5,6,11.8,0.71,4,1,9400,694.4,1449009.0
P0491,610,1,1,21,16.8,3.95,0,6,15300,291.49,399893.9
P0492,3624,6,5,17,29.8,0.45,4,3,8400,957.89,1671087.74
P0493,1574,4,3,7,37.1,3.6,3,8,9800,598.08,782252.37
P0494,3707,6,5,13,18.8,3.44,4,6,7500,982.18,1758573.78
P0495,722,3,4,33,6.0,2.46,2,4,12700,376.71,549057.44
P0496,1012,1,2,27,13.3,0.92,0,10,6500,381.74,484032.94
P0497,1545,3,2,30,26.6,0.86,1,4,7500,451.09,647185.0
P0498,3661,6,5,3,14.5,0.85,4,2,6700,911.76,1754333.18
P0499,1847,5,5,22,30.9,2.25,3,1,21100,527.24,1031219.52
P0500,711,2,3,28,21.9,2.76,1,4,18000,269.64,446259.83
P0501,1974,5,5,29,11.5,4.17,4,3,5200,624.43,902522.74
P0502,2768,6,5,0,29.8,2.58,4,3,3900,776.21,1296556.14
P0503,2041,6,5,20,27.8,3.33,4,7,8300,683.79,963542.03
P0504,3061,6,5,26,24.9,0.64,4,2,4600,838.5,1381983.48
P0505,1081,2,1,12,5.4,1.04,0,10,19900,438.21,789019.63
P0506,3422,6,5,3,14.9,3.07,4,1,8800,873.53,1645777.96
P0507,4194,6,5,3,14.7,3.74,4,6,21600,1012.75,2165796.59
P0508,3557,6,5,4,36.0,4.81,4,2,22000,867.36,1744466.53
P0509,2128,4,3,33,25.5,2.89,2,9,17700,642.56,1124559.22
P0510,2016,6,5,27,33.7,0.92,4,9,13700,701.35,1085982.14
P0511,3243,6,5,28,35.6,4.52,4,6,13000,876.97,1434154.66
P0512,1874,5,4,34,9.3,3.85,4,5,12700,673.49,979416.72
P0513,2382,6,5,2,37.4,3.02,4,3,11200,645.42,1185907.38
P0514,1839,3,4,17,35.0,2.61,3,10,7400,605.45,819724.74
P0515,2435,6,5,8,11.2,4.46,4,4,10000,747.41,1331135.34
P0516,1440,4,3,20,30.4,0.95,4,10,5900,618.72,709613.02
P0517,1780,3,4,24,4.4,0.37,2,6,14600,544.05,1111601.03
P0518,1478,5,5,0,24.6,3.2,3,5,16900,475.16,883438.87
P0519,2761,6,5,20,19.8,1.18,4,7,14900,836.26,1457158.17
P0520,2319,6,5,9,6.3,0.5,4,1,17500,649.34,1408950.04
P0521,898,2,3,27,29.7,0.74,0,8,17800,317.45,499582.79
P0522,2848,6,5,33,10.5,0.45,4,6,21000,857.05,1644196.54
P0523,916,1,2,26,17.0,1.81,0,6,18700,342.42,585228.59
P0524,1982,6,5,9,17.6,4.63,4,4,21000,622.14,1203436.05
P0525,3653,6,5,7,28.5,1.29,4,3,10800,874.91,1733764.71
P0526,2393,6,5,21,9.1,2.74,4,9,16800,793.78,1386210.97
P0527,2797,6,5,9,26.9,3.37,4,10,20400,856.14,1539349.42
P0528,1372,4,5,17,3.4,3.31,2,2,13400,447.0,894773.78
P0529,3265,6,5,6,2.2,4.35,4,7,9400,949.68,1657915.38
P0530,1842,4,5,34,4.7,1.07,3,9,21700,586.71,1205242.83
P0531,1563,5,5,21,19.4,3.75,3,6,21000,533.53,982384.38
P0532,2603,6,5,16,33.6,4.46,4,9,10600,779.1,1225500.07
P0533,1949,5,5,8,4.7,1.97,4,10,19500,719.47,1277578.93
P0534,2296,5,5,21,17.9,0.75,4,3,18300,683.42,1324516.76
P0535,3827,6,5,19,26.6,4.5,4,7,7200,1018.48,1704661.46
P0536,827,3,4,7,8.2,4.21,1,1,11600,323.87,566123.23
P0537,2245,5,5,28,28.7,4.13,4,5,7300,722.01,1029669.32
P0538,3672,6,5,17,23.6,3.1,4,4,9400,957.7,1729002.96
P0539,2021,4,5,30,6.4,4.25,3,6,8200,665.99,1022540.56
P0540,1341,2,1,26,29.4,0.17,1,7,9100,474.62,584945.49
P0541,1380,2,1,11,35.3,4.93,2,8,21100,486.89,707948.02
P0542,2208,4,5,24,27.8,2.03,4,10,18700,751.06,1212627.31
P0543,3177,6,5,33,5.5,2.34,4,4,16700,853.65,1699735.61
P0544,2136,6,5,3,8.4,2.25,4,5,15300,641.13,1313447.23
P0545,1755,5,4,33,34.5,2.37,4,8,5800,664.16,807838.65
P0546,3401,6,5,25,16.6,2.31,4,8,18600,977.84,1823467.22
P0547,1377,3,2,16,13.3,3.28,3,3,21800,502.19,944936.52
P0548,3147,6,5,33,27.3,3.66,4,10,7500,904.33,1459645.28
P0549,2108,4,3,21,22.1,3.33,2,3,7200,543.33,939201.52
P0550,1817,5,5,18,24.4,0.68,3,4,3500,582.32,826789.26
P0551,1586,3,3,31,32.7,2.76,1,10,16100,504.27,746171.53
P0552,2229,5,4,0,10.4,2.78,4,9,8800,694.11,1219533.09
P0553,1157,2,3,22,2.8,4.28,2,10,18900,468.1,837336.99
P0554,2257,4,3,18,23.8,3.49,4,10,17800,724.0,1204495.89
P0555,2415,6,5,23,35.5,0.56,4,6,12900,776.45,1221876.93
P0556,4004,6,5,18,18.7,0.7,4,6,16900,1014.1,1968794.87
P0557,1409,4,3,3,5.5,3.68,4,9,5700,589.99,809337.99
P0558,3445,6,5,20,11.0,2.92,4,6,6800,933.53,1592076.47
P0559,2583,6,5,31,19.5,0.98,4,4,21600,721.99,1454688.42
P0560,2454,6,5,13,30.7,5.0,4,1,12000,668.69,1196575.38
P0561,3851,6,5,0,24.9,3.48,4,2,11300,927.21,1782852.97
P0562,1016,3,3,21,16.0,2.89,1,3,8400,326.93,512527.07
P0563,1934,6,5,30,30.6,3.26,4,3,19500,610.18,1104307.8
P0564,2444,6,5,3,32.0,1.57,4,6,17700,745.51,1285877.93
P0565,1403,4,5,21,30.7,4.45,3,2,7300,449.59,724160.13
P0566,3116,6,5,24,8.3,0.67,4,6,21600,816.04,1790224.28
P0567,2245,4,4,15,15.1,4.16,3,4,16900,627.33,1266381.26
P0568,3735,6,5,28,20.0,4.02,4,3,8300,922.31,1740826.47
P0569,2530,6,5,19,29.8,0.8,4,9,20800,842.67,1416850.02
P0570,2137,6,5,7,1.7,4.67,4,10,5700,717.99,1218608.33
P0571,4192,6,5,33,29.5,3.75,4,10,11400,1118.45,1905451.51
P0572,1723,4,5,20,29.7,3.39,3,3,7500,518.5,809192.64
P0573,612,2,3,32,5.2,2.76,2,6,10400,306.32,429897.11
P0574,1552,3,2,19,23.9,1.76,2,1,6800,404.26,656127.02
P0575,3316,6,5,24,3.5,2.19,4,10,18600,959.83,1830662.24
P0576,2006,5,5,12,27.5,3.39,4,2,15400,621.86,1036736.49
P0577,930,3,3,6,18.1,3.45,3,8,15500,431.57,674693.31
P0578,3076,6,5,25,8.2,4.59,4,6,15100,854.43,1684864.07
P0579,817,2,1,22,19.0,4.24,1,6,18900,351.53,493558.65
P0580,3475,6,5,35,25.2,3.98,4,8,13700,960.55,1643120.6
P0581,1527,5,4,35,7.3,2.46,3,6,8800,573.25,800300.35
P0582,2333,6,5,34,26.8,0.95,4,2,21700,681.36,1250370.13
P0583,2543,5,5,29,13.4,0.58,4,3,11300,769.33,1328309.66
P0584,3884,6,5,20,19.5,3.33,4,4,7000,1015.85,1790253.36
P0585,3642,6,5,9,25.6,2.32,4,7,19200,977.35,1892410.03
P0586,1846,4,5,19,35.0,4.69,4,6,5700,642.55,842470.64
P0587,3054,6,5,8,32.6,0.41,4,1,3500,812.06,1377179.1
P0588,4077,6,5,15,17.3,2.99,4,6,21700,1024.14,2080256.69
P0589,2112,5,5,13,25.7,2.43,3,9,13300,717.49,1109804.82
P0590,1731,5,4,8,1.9,3.28,3,8,20300,596.25,1234670.72
P0591,1106,2,1,26,32.9,4.48,2,10,14300,491.4,479037.25
P0592,3909,6,5,22,9.7,2.18,4,10,16200,1088.3,2032602.73
P0593,1519,5,5,17,16.5,2.78,4,1,4400,522.23,769055.62
P0594,2522,6,5,9,28.2,2.68,4,8,16700,737.78,1347518.05
P0595,4195,6,5,15,18.7,3.73,4,2,21000,1022.47,2119667.59
P0596,766,2,3,0,18.6,2.61,1,10,11900,374.98,513149.5
P0597,3819,6,5,10,2.8,4.62,4,5,17900,953.46,1998995.22
P0598,2896,6,5,18,31.0,3.16,4,8,5600,809.96,1280897.4
P0599,864,2,2,8,24.0,1.45,1,1,6300,302.9,448541.73
P0600,3249,6,5,11,11.0,3.53,4,3,17000,887.02,1701720.03
P0601,1954,4,3,9,32.1,3.79,3,7,9500,646.79,910934.17
P0602,2916,6,5,3,24.9,3.8,4,1,7700,763.28,1366722.18
P0603,2500,6,5,34,10.0,3.45,4,8,10200,740.51,1301676.44
P0604,3815,6,5,20,36.6,3.45,4,2,17100,954.44,1774146.4
P0605,4008,6,5,17,13.7,1.41,4,5,20200,1019.86,2039507.77
P0606,1540,5,5,12,20.5,3.42,3,6,17500,495.26,976742.28
P0607,584,1,1,26,5.1,0.61,0,6,9100,289.65,385233.16
P0608,3087,6,5,13,36.2,3.23,4,2,5700,845.3,1353167.82
P0609,1082,3,4,11,34.2,3.51,2,5,15400,430.81,632799.88
P0610,1682,4,5,20,10.9,3.93,3,1,13200,498.62,966956.25
P0611,796,2,2,11,17.6,2.51,0,10,13500,321.12,510017.72
P0612,3698,6,5,6,34.8,3.61,4,1,5300,864.68,1608666.25
P0613,3530,6,5,1,34.2,0.83,4,1,4400,893.86,1570478.77
P0614,2152,6,5,32,27.3,3.88,4,7,13800,735.76,1147880.77
P0615,3748,6,5,14,1.6,4.78,4,2,18000,932.17,2013063.42
P0616,1790,4,3,5,14.8,4.28,3,2,15200,567.25,1011360.73
P0617,1737,5,4,11,21.7,4.84,4,4,11100,610.25,959338.55
P0618,2021,5,4,28,28.3,0.79,3,1,21900,620.42,1090771.59
P0619,1526,4,4,4,30.4,3.25,3,9,15000,624.34,902346.36
P0620,1933,6,5,25,5.8,4.05,4,9,15200,729.95,1188256.01
P0621,4114,6,5,14,35.3,0.28,4,8,20200,1018.43,2077520.99
P0622,1544,5,5,8,2.0,3.2,4,2,15100,543.04,1022744.33
P0623,3971,6,5,6,5.7,3.02,4,4,5100,1023.23,1863388.0
P0624,3572,6,5,20,5.9,3.45,4,3,11700,942.6,1826914.82
P0625,3798,6,5,11,13.7,0.69,4,7,7800,1017.27,1830693.99
P0626,2933,6,5,6,30.4,3.2,4,3,3900,831.9,1304255.28
P0627,880,1,1,11,35.3,3.56,1,5,14100,362.75,412714.0
P0628,1069,2,1,17,20.6,2.12,0,10,21200,356.18,666128.35
P0629,1287,4,4,5,24.4,3.93,3,7,3600,516.43,665288.61
P0630,941,3,3,34,20.0,2.37,3,4,10500,367.69,594880.65
P0631,1011,1,2,30,19.7,0.88,0,1,20000,270.4,602762.34
P0632,3076,6,5,6,28.5,4.63,4,3,4200,818.19,1400503.66
P0633,1025,1,1,28,23.1,1.7,0,6,9300,374.4,432406.5
P0634,3571,6,5,24,34.0,0.46,4,8,4800,1007.83,1590783.92
P0635,1143,2,3,29,8.0,1.93,1,4,19600,364.6,761613.96
P0636,681,3,4,3,11.7,0.64,2,8,14200,345.7,658809.2
P0637,1957,4,4,10,30.3,3.23,4,3,18200,665.27,1063880.53
P0638,4060,6,5,13,23.1,4.2,4,1,14400,996.42,1918696.65
P0639,1560,3,3,27,22.7,4.47,3,3,18100,551.63,824511.78
P0640,2477,6,5,2,17.0,2.03,4,2,15000,699.39,1392021.42
P0641,890,3,2,26,36.2,0.75,2,4,20000,418.1,580131.86
P0642,1212,4,4,1,37.1,2.37,2,7,8200,491.15,608192.88
P0643,2067,6,5,0,32.9,0.45,4,6,17000,627.33,1167478.15
P0644,3058,6,5,13,30.3,0.5,4,1,16600,836.97,1559851.89
P0645,3313,6,5,7,15.5,2.38,4,6,12800,865.87,1699699.04
P0646,3455,6,5,21,10.2,0.66,4,10,21400,942.88,1920470.85
P0647,3601,6,5,22,34.3,2.57,4,5,4800,894.52,1529410.06
P0648,2707,5,5,34,26.3,2.71,4,8,19300,800.07,1433421.75
P0649,3307,6,5,12,34.1,2.34,4,7,8000,888.1,1534892.12
P0650,1680,3,4,9,19.6,4.39,3,1,11000,501.05,852767.25
P0651,3345,6,5,30,14.2,2.27,4,1,10900,813.01,1679369.21
P0652,3969,6,5,21,16.5,1.78,4,6,15900,1025.76,1995368.18
P0653,3404,6,5,28,18.2,2.88,4,3,10100,851.4,1594384.57
P0654,4013,6,5,22,11.9,4.79,4,3,21700,991.87,2082014.29
P0655,1296,2,3,9,7.4,0.67,1,10,6700,472.37,737508.82
P0656,3446,6,5,20,37.2,0.82,4,9,7600,961.64,1574082.89
P0657,1047,1,1,31,29.6,4.74,0,3,3600,361.48,229696.59
P0658,3201,6,5,30,34.2,4.85,4,3,17900,865.03,1501077.39
P0659,2360,6,5,7,28.2,4.51,4,9,6400,743.61,1088465.22
P0660,2376,6,5,20,3.5,3.24,4,9,9100,793.81,1358049.05
P0661,3692,6,5,1,4.6,4.26,4,2,16600,908.0,1915157.47
P0662,2645,5,5,23,16.0,3.61,4,6,13300,765.38,1367176.35
P0663,1715,4,4,19,37.2,4.38,2,4,14800,540.85,779544.81
P0664,1220,4,4,26,6.6,2.98,2,3,8800,395.92,724520.52
P0665,4103,6,5,4,35.6,2.99,4,2,3600,983.49,1794729.11
P0666,2826,6,5,8,8.8,4.18,4,9,16000,800.9,1571685.2
P0667,3934,6,5,19,19.5,3.73,4,1,3500,915.52,1721115.51
P0668,3157,6,5,18,16.7,2.51,4,4,4200,808.2,1524615.41
P0669,1685,4,3,23,22.7,2.87,3,8,21200,626.13,962601.4
P0670,621,1,1,3,6.8,2.36,1,3,12600,239.11,517513.59
P0671,1666,4,4,22,3.3,1.53,4,2,16600,523.26,1019053.86
P0672,3002,6,5,20,33.3,4.15,4,5,10400,848.9,1335434.83
P0673,3369,6,5,34,22.7,4.13,4,3,16700,850.56,1639851.5
P0674,1217,2,1,9,19.9,4.17,2,10,21100,532.2,751548.13
P0675,2703,6,5,35,27.1,4.03,4,8,5400,774.2,1203159.55
P0676,1976,5,5,23,6.6,2.27,4,9,12200,660.9,1168112.59
P0677,1797,3,4,7,9.6,4.3,1,4,11300,458.99,984134.58
P0678,3379,6,5,1,29.8,3.81,4,4,6200,839.5,1557989.21
P0679,3252,6,5,3,18.6,4.55,4,2,11200,856.12,1612359.03
P0680,3014,6,5,12,8.2,1.82,4,3,10600,853.4,1519391.26
P0681,1974,5,4,32,30.0,3.1,4,10,5200,665.23,870701.16
P0682,1438,4,3,18,7.8,3.79,2,2,8900,484.89,780375.09
P0683,4036,6,5,23,27.0,1.01,4,2,8100,1013.95,1858743.79
P0684,2656,5,5,7,29.3,1.64,4,2,16800,695.67,1377304.07
P0685,3672,6,5,18,21.8,0.3,4,8,6400,975.44,1679504.34
P0686,3364,6,5,35,16.4,4.93,4,4,5200,923.0,1518271.53
P0687,3836,6,5,23,8.0,4.99,4,2,13600,938.29,1880786.37
P0688,1137,3,3,6,28.6,4.47,1,2,12800,401.18,570768.3
P0689,1937,4,5,25,6.0,4.21,4,8,10600,701.14,1082467.81
P0690,3647,6,5,22,18.9,3.06,4,8,16500,960.35,1793926.91
P0691,3695,6,5,7,10.7,2.54,4,3,4200,891.06,1772985.6
P0692,3327,6,5,24,23.6,1.7,4,10,19400,908.49,1745340.64
P0693,863,3,4,31,30.4,1.09,3,8,16000,446.82,476313.58
P0694,2764,6,5,2,37.7,4.41,4,7,15000,792.98,1358548.91
P0695,2091,5,5,2,2.7,2.83,4,3,16000,635.45,1295548.83
P0696,3679,6,5,31,25.6,3.46,4,8,15600,994.45,1802151.87
P0697,1190,4,3,25,11.1,3.0,3,10,20800,514.48,898834.67
P0698,665,3,2,8,32.0,1.81,3,10,4100,461.22,314421.36
P0699,3110,6,5,6,17.1,4.96,4,6,4900,877.92,1482065.84
P0700,2977,6,5,4,33.2,0.66,4,1,17200,760.47,1578080.54
P0701,2437,6,5,32,34.4,1.41,4,8,18500,716.88,1247511.82
P0702,1870,5,4,31,5.2,3.41,4,8,16300,693.75,1172986.41
P0703,3283,6,5,19,14.8,2.24,4,2,17200,816.35,1709612.58
P0704,2899,6,5,5,27.7,2.93,4,6,10400,780.55,1460907.35
P0705,3831,6,5,27,9.2,4.0,4,5,16400,1009.99,1894933.47
P0706,1369,3,3,16,24.3,2.32,3,3,3900,490.2,619636.57
P0707,2664,5,5,31,9.3,4.81,4,8,10300,849.24,1299057.35
P0708,3700,6,5,3,20.6,1.88,4,4,7300,968.64,1759207.84
P0709,3685,6,5,26,13.1,4.17,4,4,14000,917.99,1807406.11
P0710,3363,6,5,25,10.2,0.83,4,4,11400,879.76,1722874.31
P0711,2843,6,5,2,8.9,1.44,4,5,10600,817.61,1579306.5
P0712,3509,6,5,3,32.9,0.51,4,5,5100,961.68,1665822.23
P0713,2217,5,5,5,16.0,4.22,3,4,6300,649.16,1095887.26
P0714,3270,6,5,16,19.6,0.54,4,2,11500,825.53,1625495.47
P0715,2943,6,5,15,35.6,1.17,4,3,8900,842.73,1331814.11
P0716,2964,6,5,34,15.2,4.75,4,9,14300,869.01,1514341.64
P0717,1559,4,3,23,18.8,1.9,3,1,20000,534.3,879418.58
P0718,3262,6,5,15,10.7,1.98,4,6,21000,851.37,1776175.0
P0719,4101,6,5,24,1.8,4.81,4,5,5800,1071.81,1943597.59
P0720,4070,6,5,20,33.6,3.86,4,1,10500,1011.24,1769874.91
P0721,3921,6,5,26,35.3,1.73,4,2,7600,979.63,1667163.73
P0722,3016,6,5,20,18.0,0.23,4,3,19600,803.22,1640837.36
P0723,3175,6,5,25,8.8,1.6,4,2,6300,791.28,1451085.57
P0724,3952,6,5,26,30.4,1.67,4,3,10100,944.71,1774004.04
P0725,2979,6,5,12,4.6,1.9,4,7,18100,822.67,1788259.04
P0726,3200,6,5,14,34.6,4.87,4,5,21400,901.18,1588889.33
P0727,753,2,3,27,23.4,0.83,1,3,18000,258.28,492818.06
P0728,2408,6,5,7,9.7,1.1,4,5,16100,711.65,1394876.94
P0729,2316,5,5,13,37.8,1.49,4,4,14200,662.92,1150472.34
P0730,1622,3,4,28,34.6,1.91,3,8,5600,533.99,668680.75
P0731,1095,3,4,25,26.6,3.6,3,7,18700,451.72,687101.87
P0732,1913,4,4,22,37.9,4.7,4,1,3600,561.71,730533.94
P0733,3088,6,5,25,26.0,0.75,4,1,18300,765.78,1592927.73
P0734,1939,5,4,5,13.1,2.7,3,5,6400,585.35,1063055.33
P0735,1073,3,3,23,35.3,1.49,2,10,10200,474.84,497854.48
